<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.11.06	35.5380	35.8510	35.5010	35.8080	1861	0	0
2015.11.09	35.7520	35.9490	35.7480	35.8510	1372	0	0
2015.11.10	35.8680	35.9340	35.8400	35.8480	1023	0	0
2015.11.11	35.8570	35.8740	35.7630	35.8220	1249	0	0
2015.11.12	35.8110	35.9180	35.7150	35.8000	1761	0	0
2015.11.13	35.8080	35.9500	35.7450	35.8310	1299	0	0
2015.11.16	35.7300	36.0230	35.7160	35.9440	1146	0	0
2015.11.17	35.9430	36.0110	35.9190	35.9680	1074	0	0
2015.11.18	35.9630	36.0670	35.9030	35.9530	1425	0	0
2015.11.19	35.9520	35.9830	35.6770	35.7000	1599	0	0
2015.11.20	35.6930	35.7870	35.5180	35.5480	1931	0	0
2015.11.23	35.5780	35.9220	35.5580	35.8150	1289	0	0
2015.11.24	35.8200	35.8470	35.7160	35.7330	1180	0	0
2015.11.25	35.7150	35.7690	35.5320	35.6620	1883	0	0
2015.11.26	35.6300	35.7590	35.6090	35.7200	700	0	0
2015.11.27	35.7030	35.9080	35.6960	35.8450	1361	0	0
2015.11.30	35.7770	35.9190	35.7660	35.7740	1308	0	0
2015.12.01	35.7970	35.8370	35.6570	35.7330	1015	0	0
2015.12.02	35.7320	35.8830	35.7090	35.7390	2860	0	0
2015.12.03	35.7840	35.9050	35.7060	35.7420	1298	0	0
2015.12.04	35.7270	35.9170	35.6190	35.6930	1756	0	0
2015.12.07	35.7010	35.8980	35.7010	35.8540	537	0	0
2015.12.08	35.8530	35.9740	35.8380	35.9280	1280	0	0
2015.12.09	35.9320	35.9940	35.8330	35.9640	1227	0	0
2015.12.10	35.9260	36.0720	35.8710	36.0490	1416	0	0
2015.12.11	35.9070	36.1840	35.9070	36.0400	1928	0	0
2015.12.14	36.1130	36.1510	36.0010	36.0900	1395	0	0
2015.12.15	36.0810	36.1310	35.8230	35.9220	1574	0	0
2015.12.16	35.9140	36.0790	35.7260	35.8900	1435	0	0
2015.12.17	35.8590	36.1920	35.7580	36.1520	1286	0	0
2015.12.18	36.1410	36.1870	35.9480	36.0500	1206	0	0
2015.12.21	36.0620	36.1640	35.9760	36.0920	1307	0	0
2015.12.22	36.0730	36.1080	35.9600	36.0440	1161	0	0
2015.12.23	36.0430	36.0800	35.9050	36.0110	952	0	0
2015.12.24	36.0240	36.1270	35.9230	35.9890	913	0	0
2015.12.28	36.0350	36.1420	35.9220	36.0460	864	0	0
2015.12.29	36.0500	36.1290	35.8970	36.0370	919	0	0
2015.12.30	36.0370	36.1000	35.9360	35.9860	1282	0	0
2015.12.31	36.0090	36.1040	35.8930	35.9090	550	0	0
2016.01.04	35.9540	36.1980	35.9230	36.1210	1728	0	0
2016.01.05	36.1180	36.1630	36.0380	36.1130	1417	0	0
2016.01.06	36.1050	36.2530	36.0820	36.2040	2147	0	0
2016.01.07	36.2100	36.3480	36.1900	36.1940	2707	0	0
2016.01.08	36.1980	36.4030	36.0230	36.3050	2459	0	0
2016.01.11	36.2750	36.3360	36.2130	36.2330	1781	0	0
2016.01.12	36.2430	36.3620	36.2070	36.2840	2337	0	0
2016.01.13	36.2570	36.3040	36.1920	36.1920	1766	0	0
2016.01.14	36.2000	36.3850	36.2000	36.2880	2347	0	0
2016.01.15	36.2800	36.3910	36.2130	36.2130	2031	0	0
2016.01.18	36.2190	36.3200	36.2190	36.2680	878	0	0
2016.01.19	36.2695	36.3108	36.2528	36.2870	1747	0	0
2016.01.20	36.2835	36.3178	36.2498	36.2865	2238	0	0
2016.01.21	36.2855	36.2855	36.1868	36.2120	2324	0	0
2016.01.22	36.2175	36.2180	35.9825	36.0170	2785	0	0
2016.01.25	36.0075	36.0418	35.8658	35.8900	2396	0	0
2016.01.26	35.8920	36.0048	35.8048	35.8520	2648	0	0
2016.01.27	35.8560	35.8618	35.7748	35.8515	2498	0	0
2016.01.28	35.8495	35.8788	35.7698	35.7795	3018	0	0
2016.01.29	35.7815	35.8358	35.6498	35.7120	4152	0	0
2016.02.01	35.7225	35.7448	35.5455	35.5455	1848	0	0
2016.02.02	35.5465	35.8580	35.5465	35.8540	3560	0	0
