Datetime,open,High,Low,Close,Volume,gold_spot_usd,usd_thb_rate
2026-02-20 18:00:00,74263,74322,74197,74220,4205,5042.93,31.122
2026-02-20 18:05:00,74217,74365,74155,74291,4035,5048.59,31.117
2026-02-20 18:10:00,74292,74404,74279,74375,3467,5054.47,31.116
2026-02-20 18:15:00,74378,74426,74303,74324,4292,5049.01,31.128
2026-02-20 18:20:00,74324,74383,74269,74365,3937,5051.19,31.132
2026-02-20 18:25:00,74365,74436,74303,74417,3672,5053.88,31.137
2026-02-20 18:30:00,74417,74621,74397,74589,3940,5067.55,31.125
2026-02-20 18:35:00,74592,74620,74465,74525,3460,5064.64,31.116
2026-02-20 18:40:00,74527,74549,74461,74515,2763,5063.12,31.121
2026-02-20 18:45:00,74515,74580,74503,74539,2612,5064.79,31.121
2026-02-20 18:50:00,74539,74568,74462,74518,2458,5064.17,31.116
2026-02-20 18:55:00,74520,74590,74463,74563,2571,5066.71,31.119
2026-02-20 19:00:00,74560,74615,74496,74561,3330,5066.76,31.118
2026-02-20 19:05:00,74561,74673,74543,74656,2962,5070.91,31.132
2026-02-20 19:10:00,74656,74709,74558,74571,3234,5066.78,31.122
2026-02-20 19:15:00,74571,74606,74505,74509,3569,5061.12,31.131
2026-02-20 19:20:00,74509,74530,74391,74446,4055,5055.89,31.137
2026-02-20 19:25:00,74444,74590,74423,74575,3641,5064.29,31.139
2026-02-20 19:30:00,74578,74607,74498,74558,3089,5064.76,31.129
2026-02-20 19:35:00,74556,74592,74531,74565,2432,5067.04,31.118
2026-02-20 19:40:00,74565,74617,74533,74593,2414,5068.45,31.121
2026-02-20 19:45:00,74592,74668,74568,74652,2464,5073.73,31.113
2026-02-20 19:50:00,74651,74695,74623,74674,2683,5075.23,31.113
2026-02-20 19:55:00,74690,74702,74633,74653,2893,5072.99,31.118
2026-02-20 20:00:00,74652,74662,74598,74615,2416,5071.38,31.112
2026-02-20 20:05:00,74617,74645,74550,74633,2558,5070.55,31.125
2026-02-20 20:10:00,74636,74667,74568,74633,2304,5069.71,31.13
2026-02-20 20:15:00,74636,74643,74566,74587,2421,5066.06,31.133
2026-02-20 20:20:00,74587,74647,74512,74605,3058,5069.62,31.119
2026-02-20 20:25:00,74605,74628,74369,74450,4471,5058.38,31.123
2026-02-20 20:30:00,74447,74639,74428,74540,3821,5065.49,31.117
2026-02-20 20:35:00,74537,74662,74457,74602,4237,5071.18,31.108
2026-02-20 20:40:00,74602,74627,74506,74542,2772,5066.81,31.11
2026-02-20 20:45:00,74538,74630,74522,74607,2610,5072.5,31.102
2026-02-20 20:50:00,74607,74634,74534,74592,2473,5071.5,31.102
2026-02-20 20:55:00,74580,74610,74535,74598,1914,5071.4,31.105
2026-02-20 21:00:00,74592,74645,74535,74606,1484,5072.44,31.102
2026-02-20 21:05:00,74609,74616,74529,74594,1560,5071.61,31.102
2026-02-20 21:10:00,74596,74659,74515,74640,1825,5071.66,31.121
2026-02-20 21:15:00,74633,74676,74586,74645,1817,5074.28,31.107
2026-02-20 21:20:00,74648,74659,74614,74639,1317,5073.02,31.112
2026-02-20 21:25:00,74641,74658,74588,74601,1517,5069.66,31.117
2026-02-20 21:30:00,74594,74637,74588,74616,1550,5071.47,31.112
2026-02-20 21:35:00,74618,74640,74587,74619,1167,5072.53,31.107
2026-02-20 21:40:00,74615,74642,74555,74634,1472,5073.68,31.106
2026-02-20 21:45:00,74624,74665,74616,74629,1547,5072.67,31.11
2026-02-20 21:50:00,74629,74695,74610,74682,1502,5075.96,31.112
